titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement 81 m² avec piscine à gueliz,Marrakech,769 500 DH,2,1,81,"Appartements, à vendre",Guéliz,1,5,Neuf,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_81_m%C2%B2_avec_piscine_%C3%A0_gueliz_49187447.htm
des apartement à vendre rez de chaussè hay salam,Agadir,PRIX NON SPÉCIFIÉ,NaN,NaN,76,"Appartements, à vendre",Hay Salam,1,Rez de chaussée,Neuf,https://www.avito.ma/fr/hay_salam/appartements/des_apartement_%C3%A0_vendre__rez_de_chauss%C3%A8_hay_salam_54978288.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/q9U?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 49 m² à Casablanca,Casablanca,480 000 DH,2,1,49,"Appartements, à vendre",Sidi Maarouf,1,1,11-20 ans,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_49_m%C2%B2_%C3%A0_Casablanca_55736244.htm
nouveau projet appartement haut standing,Tanger,PRIX NON SPÉCIFIÉ,NaN,NaN,60,"Appartements, à vendre",Val Fleuri,1,2,Neuf,https://www.avito.ma/fr/val_fleuri/appartements/nouveau_projet_appartement_haut_standing_55661440.htm
Magnifique appartement à vendre à Meknes,Meknès,PRIX NON SPÉCIFIÉ,NaN,NaN,76,"Appartements, à vendre",Marjane 2,1,1,Neuf,https://www.avito.ma/fr/marjane_2/appartements/Magnifique_appartement_%C3%A0_vendre_%C3%A0_Meknes_49761924.htm
Superbe Appartement à 145 m² Maarif extension,Casablanca,2 600 000 DH,3,2,145,"Appartements, à vendre",Maârif Extension,1,1,6-10 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Superbe_Appartement_%C3%A0_145_m%C2%B2_Maarif_extension__55321806.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/4wA?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 307 m² à Casablanca,Casablanca,2 600 000 DH,4,3,307,"Appartements, à vendre",Maârif Extension,3,1,11-20 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_307_m%C2%B2_%C3%A0_Casablanca_54938457.htm
Appartement à vendre 57 m² à Casablanca,Casablanca,680 000 DH,2,2,57,"Appartements, à vendre",Sidi Maarouf,1,2,Neuf,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_57_m%C2%B2_%C3%A0_Casablanca_55539057.htm
Appartement vue mer et piscine à colina Smir,Mdiq,1 150 000 DH,2,2,78,"Appartements, à vendre",Toute la ville,1,2,1-5 ans,https://www.avito.ma/fr/mdiq/appartements/Appartement_vue_mer_et_piscine_%C3%A0__colina_Smir__55736195.htm
Appartement à vendre 106 m² à Mohammedia,Mohammedia,PRIX NON SPÉCIFIÉ,NaN,NaN,106,"Appartements, à vendre",Autre secteur,1,3,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_106_m%C2%B2_%C3%A0_Mohammedia_55736179.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/4jx?utm_source=avito_integration&utm_medium=listing_integration
Appartement a vendre jardin d 'agadir,Agadir,1 200 000 DH,2,2,83,"Appartements, à vendre",Hay Massira,1,4,1-5 ans,https://www.avito.ma/fr/hay_massira/appartements/Appartement__a_vendre_jardin_d__agadir_55732322.htm
Appartement à vendre 127 m² à Tanger,Tanger,1 300 000 DH,4,2,127,"Appartements, à vendre",Centre ville,1,3,21+ ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Tanger_53914419.htm
Appartement à vendre 128 m² à Meknès,Meknès,PRIX NON SPÉCIFIÉ,NaN,NaN,128,"Appartements, à vendre",Hamria,2,4,1-5 ans,https://www.avito.ma/fr/hamria/appartements/Appartement_%C3%A0_vendre_128_m%C2%B2_%C3%A0_Mekn%C3%A8s_55736161.htm
appartement à vendre,Salé,870 000 DH,3,1,99,"Appartements, à vendre",Tabriquet,1,1,6-10 ans,https://www.avito.ma/fr/tabriquet/appartements/appartement_%C3%A0_vendre_55736159.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jiP?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 56 m² à Casablanca,Casablanca,392 000 DH,2,1,56,"Appartements, à vendre",Autre secteur,1,2,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Casablanca_55328816.htm
Bel Appartement 3Chs 148 m² Beauséjour,Casablanca,1 750 000 DH,3,2,148,"Appartements, à vendre",Beauséjour,2,5,NaN,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Bel_Appartement_3Chs_148_m%C2%B2_Beaus%C3%A9jour_55700916.htm
