titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement à vendre 153 m² à Kénitra,Kénitra,1 120 000 DH,3,3,153,"Appartements, à vendre",Bir Rami Ouest,2,2,Neuf,https://www.avito.ma/fr/bir_rami_ouest/appartements/Appartement_%C3%A0_vendre_153_m%C2%B2_%C3%A0_K%C3%A9nitra_54612159.htm
Appartement à vendre 110 m² à Marrakech,Marrakech,2 500 000 DH,3,2,110,"Appartements, à vendre",Guéliz,1,1,Neuf,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Marrakech_55713589.htm
Appartement à vendre 85 m² à Marrakech,Marrakech,1 200 000 DH,2,2,85,"Appartements, à vendre",Guéliz,1,3,11-20 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Marrakech_55592187.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jXm?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 35 m² à Casablanca,Casablanca,380 000 DH,1,1,35,"Appartements, à vendre",Sbata,1,4,1-5 ans,https://www.avito.ma/fr/sbata/appartements/Appartement_%C3%A0_vendre_35_m%C2%B2_%C3%A0_Casablanca_55640038.htm
Appartement à vendre 50 m² à Tanger,Tanger,350 000 DH,2,1,50,"Appartements, à vendre",Mghogha,1,1,Neuf,https://www.avito.ma/fr/mghogha/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Tanger_53451108.htm
apartment a vendre,Casablanca,2 220 000 DH,2,2,139,"Appartements, à vendre",Franceville,2,3,11-20 ans,https://www.avito.ma/fr/franceville/appartements/apartment_a_vendre__55681691.htm
Luxe appartement à vendre avec vue sur mer à M'nar,Tanger,PRIX NON SPÉCIFIÉ,1,1,48,"Appartements, à vendre",M'nar,1,1,Neuf,https://www.avito.ma/fr/m'nar/appartements/Luxe_appartement_%C3%A0_vendre_avec_vue_sur_mer_%C3%A0_M_nar_55651348.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/1LU?utm_source=avito_integration&utm_medium=listing_integration
Appartement 120 m² à Tanja Balia Tanger,Tanger,1 440 000 DH,3,2,120,"Appartements, à vendre",Tanja Balia,1,2,Neuf,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_120_m%C2%B2_%C3%A0_Tanja_Balia_Tanger_54631158.htm
Appartement avec finition haut standing à Skhirat,Skhirat,380 000 DH,2,1,72,"Appartements, à vendre",Autre secteur,1,2,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement__avec_finition_haut_standing_%C3%A0_Skhirat_55725231.htm
Appartement à vendre complexe zemouri,Tanger,4 200 000 DH,2,1,60,"Appartements, à vendre",Zemmouri,1,2,1-5 ans,https://www.avito.ma/fr/zemmouri/appartements/Appartement_%C3%A0_vendre__complexe_zemouri_54877713.htm
Appartement à vendre 211 m² à Tanger,Tanger,5 480 000 DH,3,3,211,"Appartements, à vendre",Du Golf,2,2,1-5 ans,https://www.avito.ma/fr/du_golf/appartements/Appartement_%C3%A0_vendre_211_m%C2%B2_%C3%A0_Tanger_55310084.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/4qT?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre de 140 m² à Ain El Hayani,Tanger,850 000 DH,3,1,140,"Appartements, à vendre",Ain El Hayani,1,1,1-5 ans,https://www.avito.ma/fr/ain_el_hayani/appartements/Appartement_%C3%A0_vendre_de_140_m%C2%B2_%C3%A0_Ain_El_Hayani__55312102.htm
Tres jolie appartement de 3 façades,Temara,2 100 000 DH,2,2,125,"Appartements, à vendre",Harhoura,2,2,11-20 ans,https://www.avito.ma/fr/harhoura/appartements/Tres_jolie_appartement_de_3_fa%C3%A7ades__55725228.htm
Appartement à vendre de 118 m² à Ain El Hayani,Tanger,850 000 DH,3,1,118,"Appartements, à vendre",Ain El Hayani,1,3,1-5 ans,https://www.avito.ma/fr/ain_el_hayani/appartements/Appartement_%C3%A0_vendre_de_118_m%C2%B2_%C3%A0_Ain_El_Hayani_55311987.htm
Appartement à vendre 87 m² à Tanger,Tanger,950 000 DH,3,1,87,"Appartements, à vendre",Moujahidine,1,2,6-10 ans,https://www.avito.ma/fr/moujahidine/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Tanger_54678266.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jLl?utm_source=avito_integration&utm_medium=listing_integration
Appartement luxueux avec Balcon 72m² à vendre,El Jadida,680 000 DH,2,1,72,"Appartements, à vendre",Najd,1,1,Neuf,https://www.avito.ma/fr/najd/appartements/Appartement_luxueux_avec_Balcon_72m%C2%B2_%C3%A0_vendre__55599970.htm
Appartement à vendre 106 m² à Tanger,Tanger,1 272 000 DH,3,2,106,"Appartements, à vendre",Tanja Balia,1,5,Neuf,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_%C3%A0_vendre_106_m%C2%B2_%C3%A0_Tanger_55181960.htm
appart avec piscines offrant vue directe sur mer,Mohammedia,PRIX NON SPÉCIFIÉ,2,1,75,"Appartements, à vendre",Mimosas,1,3,NaN,https://www.avito.ma/fr/mimosas/appartements/appart_avec_piscines_offrant_vue_directe_sur_mer_55392211.htm
